;Francis reversible pump-turbine characteristic FR300T-Torrao a0=1_added
;a0=1 mm added (somehow created according to a0=4 mm and a0=2 mm), a0 closed added
;T11 at a0 closed taken from created a0=1
;Model Francis
;a0max = 38 mm
;y    N11    Q11    T11
<list>
a0	N11	Q11	T11
1	-103.7739821	-1.408189617	1512.340226
1	-103.2937895	-1.39401158	1498.514085
1	-98.15913955	-1.262979415	1375.10041
1	-95.16500895	-1.176175236	1310.981687
1	-92.55662973	-1.087665072	1247.537446
1	-90.10566875	-1.001747822	1181.917253
1	-88.06289025	-0.933975088	1129.44594
1	-86.23936627	-0.858584119	1070.211068
1	-84.52166114	-0.794124788	1019.03087
1	-83.18401295	-0.736752777	971.5939809
1	-81.77914147	-0.665433832	920.6689597
1	-86.08231581	-0.653963973	981.5336087
1	-85.2669752	-0.600422182	942.9622688
1	-84.74806223	-0.544593766	921.7933037
1	-83.09225606	-0.488983618	871.7283302
1	-82.28254023	-0.434757567	829.8008435
1	-81.47783739	-0.385848519	799.3929863
1	-81.18762133	-0.331106589	770.1298616
1	-80.61506192	-0.283708827	747.4851655
1	-79.74383676	-0.2304612	717.1402203
1	-79.00466296	-0.188014557	696.7043746
1	-78.87170365	-0.178969297	691.401063
1	-78.25566002	-0.139372827	674.5031102
1	-77.4090072	-0.09246426	661.9345599
1	-76.39590792	-0.048364403	657.6174119
1	-73.17696551	0.058037423	651.1821831
1	-70.89292572	0.117284848	676.6217301
1	-68.9857662	0.264704008	681.0224097
1	-68.00396128	0.319625626	685.563966
1	-65.77073694	0.383410768	721.4305739
1	-63.58268794	0.42134913	760.073563
1	-58.14727202	0.506389109	820.7436408
1	-49.13084172	0.6099693	945.8675794
1	-41.05700722	0.686003803	1039.834455
1	-36.27516469	0.732949524	1089.004389
1	-27.00332701	0.800660345	1207.397085
1	-22.91096621	0.824198203	1249.737584
1	-18.22727602	0.873107024	1402.909173
1	-11.47558867	0.913719938	1548.371853
1	9.940272163	1.009900241	1692.723106
1	19.70161818	1.048043223	1539.115352
1	30.17164764	1.08933132	1499.481277
1	39.80095649	1.126756961	1476.565987
1	49.99986138	1.160309117	1439.308809
